run_name,n,depth,best_error,expr,nodes,dps,runtime_seconds
depth_sweep_d4_nodes25_beam5000,7,3,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,84.213
depth_sweep_d4_nodes25_beam5000,7,4,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,84.213
depth_sweep_d4_nodes25_beam5000,11,0,1.6308438660073143e-05,(53/63),1,80,79.725
depth_sweep_d4_nodes25_beam5000,11,1,7.1841600004507455e-06,(sqrt((243/290)) * sqrt((288/341))),5,80,79.725
depth_sweep_d4_nodes25_beam5000,11,2,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,79.725
depth_sweep_d4_nodes25_beam5000,11,3,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,79.725
depth_sweep_d4_nodes25_beam5000,11,4,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,79.725
depth_sweep_d4_nodes25_beam5000,13,0,3.935898654328085e-05,(85/96),1,80,79.289
depth_sweep_d4_nodes25_beam5000,13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,79.289
depth_sweep_d4_nodes25_beam5000,13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,79.289
depth_sweep_d4_nodes25_beam5000,13,3,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,79.289
depth_sweep_d4_nodes25_beam5000,13,4,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,79.289
depth_sweep_d5_nodes25_beam5000,7,0,0.00011317848211012116,(48/77),1,80,104.571
depth_sweep_d5_nodes25_beam5000,7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,104.571
depth_sweep_d5_nodes25_beam5000,7,2,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,104.571
depth_sweep_d5_nodes25_beam5000,7,3,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,104.571
depth_sweep_d5_nodes25_beam5000,7,4,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,104.571
depth_sweep_d5_nodes25_beam5000,7,5,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,104.571
depth_sweep_d5_nodes25_beam5000,11,0,1.6308438660073143e-05,(53/63),1,80,96.722
depth_sweep_d5_nodes25_beam5000,11,1,7.1841600004507455e-06,(sqrt((243/290)) * sqrt((288/341))),5,80,96.722
depth_sweep_d5_nodes25_beam5000,11,2,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,96.722
depth_sweep_d5_nodes25_beam5000,11,3,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,96.722
depth_sweep_d5_nodes25_beam5000,11,4,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,96.722
depth_sweep_d5_nodes25_beam5000,11,5,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,96.722
depth_sweep_d5_nodes25_beam5000,13,0,3.935898654328085e-05,(85/96),1,80,94.117
depth_sweep_d5_nodes25_beam5000,13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,94.117
depth_sweep_d5_nodes25_beam5000,13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,94.117
depth_sweep_d5_nodes25_beam5000,13,3,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,94.117
depth_sweep_d5_nodes25_beam5000,13,4,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,94.117
depth_sweep_d5_nodes25_beam5000,13,5,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,94.117
depth_sweep_d6_nodes25_beam5000,7,0,0.00011317848211012116,(48/77),1,80,120.397
depth_sweep_d6_nodes25_beam5000,7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,120.397
depth_sweep_d6_nodes25_beam5000,7,2,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
depth_sweep_d6_nodes25_beam5000,7,3,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
depth_sweep_d6_nodes25_beam5000,7,4,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
depth_sweep_d6_nodes25_beam5000,7,5,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
depth_sweep_d6_nodes25_beam5000,7,6,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
depth_sweep_d6_nodes25_beam5000,11,0,1.6308438660073143e-05,(53/63),1,80,116.058
depth_sweep_d6_nodes25_beam5000,11,1,7.1841600004507455e-06,(sqrt((243/290)) * sqrt((288/341))),5,80,116.058
depth_sweep_d6_nodes25_beam5000,11,2,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
depth_sweep_d6_nodes25_beam5000,11,3,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
depth_sweep_d6_nodes25_beam5000,11,4,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
depth_sweep_d6_nodes25_beam5000,11,5,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
depth_sweep_d6_nodes25_beam5000,11,6,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
depth_sweep_d6_nodes25_beam5000,13,0,3.935898654328085e-05,(85/96),1,80,107.87
depth_sweep_d6_nodes25_beam5000,13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,107.87
depth_sweep_d6_nodes25_beam5000,13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
depth_sweep_d6_nodes25_beam5000,13,3,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
depth_sweep_d6_nodes25_beam5000,13,4,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
depth_sweep_d6_nodes25_beam5000,13,5,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
depth_sweep_d6_nodes25_beam5000,13,6,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
expanded_consts_d4_nodes30_beam10000,7,0,1.4192102635868231e-05,(409/656),1,80,275.085
expanded_consts_d4_nodes30_beam10000,7,1,7.95085007831986e-08,(sqrt((1597/2560)) * sqrt((1728/2773))),5,80,275.085
expanded_consts_d4_nodes30_beam10000,7,2,8.14159850648366e-10,(sqrt((sqrt((101/162)) * sqrt((53/85)))) * sqrt((sqrt((1435/2304)) * sqrt((729/1168))))),13,80,275.085
expanded_consts_d4_nodes30_beam10000,7,3,9.184486504665301e-11,(sqrt((sqrt((sqrt((157/252)) * sqrt((599/960)))) * sqrt((sqrt((479/768)) * sqrt((91/146)))))) * sqrt((sqrt((sqrt((3645/5849)) * sqrt((519/832)))) * sqrt((sqrt((389/624)) * sqrt((5051/8100))))))),29,80,275.085
expanded_consts_d4_nodes30_beam10000,7,4,9.184486504665301e-11,(sqrt((sqrt((sqrt((157/252)) * sqrt((599/960)))) * sqrt((sqrt((479/768)) * sqrt((91/146)))))) * sqrt((sqrt((sqrt((3645/5849)) * sqrt((519/832)))) * sqrt((sqrt((389/624)) * sqrt((5051/8100))))))),29,80,275.085
expanded_consts_d4_nodes30_beam10000,11,0,1.6308438660073143e-05,(53/63),1,80,204.695
expanded_consts_d4_nodes30_beam10000,11,1,2.452753000703467e-09,(sqrt((164/195)) * sqrt((568/675))),5,80,204.695
expanded_consts_d4_nodes30_beam10000,11,2,8.890603808708875e-10,(sqrt((sqrt((101/120)) * sqrt((1453/1728)))) * sqrt((sqrt((1280/1523)) * sqrt((741/880))))),13,80,204.695
expanded_consts_d4_nodes30_beam10000,11,3,8.489042802040103e-11,(sqrt((sqrt((sqrt((1953/2320)) * sqrt((512/609)))) * sqrt((sqrt((53/63)) * sqrt((694/825)))))) * sqrt((sqrt((sqrt((568/675)) * sqrt((767/912)))) * sqrt((sqrt((613/729)) * sqrt((675/802))))))),29,80,204.695
expanded_consts_d4_nodes30_beam10000,11,4,8.489042802040103e-11,(sqrt((sqrt((sqrt((1953/2320)) * sqrt((512/609)))) * sqrt((sqrt((53/63)) * sqrt((694/825)))))) * sqrt((sqrt((sqrt((568/675)) * sqrt((767/912)))) * sqrt((sqrt((613/729)) * sqrt((675/802))))))),29,80,204.695
expanded_consts_d4_nodes30_beam10000,13,0,3.5079544717930844e-06,(1291/1458),1,80,287.086
expanded_consts_d4_nodes30_beam10000,13,1,7.861928141839059e-08,(sqrt((192/217)) * sqrt((2560/2889))),5,80,287.086
expanded_consts_d4_nodes30_beam10000,13,2,4.4614921757002435e-09,(sqrt((sqrt((1161/1312)) * sqrt((1531/1728)))) * sqrt((sqrt((1891/2136)) * sqrt((271/306))))),13,80,287.086
expanded_consts_d4_nodes30_beam10000,13,3,3.679823112889835e-11,(sqrt((sqrt((sqrt((1147/1296)) * sqrt((295/333)))) * sqrt((sqrt((4589/5184)) * sqrt((829/936)))))) * sqrt((sqrt((sqrt((1169/1320)) * sqrt((1891/2136)))) * sqrt((sqrt((215/243)) * sqrt((646/729))))))),29,80,287.086
expanded_consts_d4_nodes30_beam10000,13,4,3.679823112889835e-11,(sqrt((sqrt((sqrt((1147/1296)) * sqrt((295/333)))) * sqrt((sqrt((4589/5184)) * sqrt((829/936)))))) * sqrt((sqrt((sqrt((1169/1320)) * sqrt((1891/2136)))) * sqrt((sqrt((215/243)) * sqrt((646/729))))))),29,80,287.086
node_sweep_d4_nodes15_beam5000,7,0,0.00011317848211012116,(48/77),1,80,73.503
node_sweep_d4_nodes15_beam5000,7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,73.503
node_sweep_d4_nodes15_beam5000,7,2,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,73.503
node_sweep_d4_nodes15_beam5000,7,3,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,73.503
node_sweep_d4_nodes15_beam5000,7,4,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,73.503
node_sweep_d4_nodes15_beam5000,11,0,1.6308438660073143e-05,(53/63),1,80,94.214
node_sweep_d4_nodes15_beam5000,11,1,7.1841600004507455e-06,(sqrt((243/290)) * sqrt((288/341))),5,80,94.214
node_sweep_d4_nodes15_beam5000,11,2,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,94.214
node_sweep_d4_nodes15_beam5000,11,3,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,94.214
node_sweep_d4_nodes15_beam5000,11,4,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,94.214
node_sweep_d4_nodes15_beam5000,13,0,3.935898654328085e-05,(85/96),1,80,78.604
node_sweep_d4_nodes15_beam5000,13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,78.604
node_sweep_d4_nodes15_beam5000,13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,78.604
node_sweep_d4_nodes15_beam5000,13,3,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,78.604
node_sweep_d4_nodes15_beam5000,13,4,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,78.604
node_sweep_d4_nodes20_beam5000,7,0,0.00011317848211012116,(48/77),1,80,94.553
node_sweep_d4_nodes20_beam5000,7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,94.553
node_sweep_d4_nodes20_beam5000,7,2,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,94.553
node_sweep_d4_nodes20_beam5000,7,3,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,94.553
node_sweep_d4_nodes20_beam5000,7,4,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,94.553
node_sweep_d4_nodes20_beam5000,11,0,1.6308438660073143e-05,(53/63),1,80,105.924
node_sweep_d4_nodes20_beam5000,11,1,7.1841600004507455e-06,(sqrt((243/290)) * sqrt((288/341))),5,80,105.924
node_sweep_d4_nodes20_beam5000,11,2,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,105.924
node_sweep_d4_nodes20_beam5000,11,3,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,105.924
node_sweep_d4_nodes20_beam5000,11,4,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,105.924
node_sweep_d4_nodes20_beam5000,13,0,3.935898654328085e-05,(85/96),1,80,73.926
node_sweep_d4_nodes20_beam5000,13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,73.926
node_sweep_d4_nodes20_beam5000,13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,73.926
node_sweep_d4_nodes20_beam5000,13,3,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,73.926
node_sweep_d4_nodes20_beam5000,13,4,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,73.926
node_sweep_d4_nodes25_beam5000,7,0,0.00011317848211012116,(48/77),1,80,103.33
node_sweep_d4_nodes25_beam5000,7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,103.33
node_sweep_d4_nodes25_beam5000,7,2,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,103.33
